ï»¿ts,code,carno,msgtype,lat,lon,type,desc,gps,event_lon,event_lat,equipmenttype,message,messageDate,
"1654936180","106590","106590","v2x","31.27437","121.16217","21001","3,29","2","0","0","1","必选数据未填充","10-26 10:02",
"1655016326","21c1e9ea","21c1e9ea","v2x","31.280504","121.16945","21001","3,29","1","0","0","1","必选数据未填充","10-26 10:03",
"1655121814","21c1e9ea","21c1e9ea","v2x","31.280504","121.16945","21001","3,29","1","0","0","1","必选数据未填充","10-26 10:05",
"1655164405","7061b50a","7061b50a","v2x","31.274305","121.16241","21001","3,29","1","0","0","1","必选数据未填充","10-26 10:06",
"1655175705","106590","106590","v2x","31.27437","121.16217","21001","4,12","2","0","0","1","消息验签失败","10-26 10:06",
"1655253511","7061b50a","7061b50a","v2x","31.274303","121.16241","21001","3,29","1","0","0","1","必选数据未填充","10-26 10:07",
"1655309795","106590","106590","v2x","31.27437","121.16217","21001","3,29","2","0","0","1","必选数据未填充","10-26 10:08",
"1655352819","106590","106590","v2x","31.27437","121.16217","21001","4,12","2","0","0","1","消息验签失败","10-26 10:09",
"1655372217","106590","106590","v2x","31.27437","121.16217","21001","2,17","2","0","0","1","消息已过期","10-26 10:09",
"1655356308","7061b50a","7061b50a","v2x","31.274305","121.16241","21001","2,17","1","0","0","1","消息已过期","10-26 10:09",
"1655513200","7061b50a","7061b50a","v2x","31.274303","121.16241","21001","4,12","1","0","0","1","消息验签失败","10-26 10:11",
"1655557614","7061b50a","7061b50a","v2x","31.274303","121.16241","21001","3,29","1","0","0","1","必选数据未填充","10-26 10:12",
"1655557992","106590","106590","v2x","31.27437","121.16217","21001","3,29","2","0","0","1","必选数据未填充","10-26 10:12",
"1655814180","21c1e9ea","21c1e9ea","v2x","31.280504","121.16945","21001","3,29","1","0","0","1","必选数据未填充","10-26 10:16",
"1655850585","f77db500","f77db500","v2x","31.280994","121.16448","21001","3,29","2","0","0","1","必选数据未填充","10-26 10:17",
"1655871033","106590","106590","v2x","31.273207","121.16402","21001","3,29","2","0","0","1","必选数据未填充","10-26 10:17",
"1655948034","106590","106590","v2x","31.273138","121.164444","21001","3,29","2","0","0","1","必选数据未填充","10-26 10:19",
"1655979517","21c1e9ea","21c1e9ea","v2x","31.280767","121.17096","21001","3,29","1","0","0","1","必选数据未填充","10-26 10:19",
"1656130979","f77db500","f77db500","v2x","31.274445","121.16225","21001","3,29","2","0","0","1","必选数据未填充","10-26 10:22",
"1656186364","21c1e9ea","21c1e9ea","v2x","31.274437","121.18635","21001","3,33","1","0","0","1","证书链错误","10-26 10:23",
"1656223126","69a61413","69a61413","v2x","31.274479","121.18935","21001","3,33","1","0","0","1","证书链错误","10-26 10:23",
"1656235975","106590","106590","v2x","31.280565","121.16955","21001","3,29","2","0","0","1","必选数据未填充","10-26 10:23",
